title,serial
American Idol (USA),SLUS-20816
"American Tail, An (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",SLES-54626
"America's 10 Most Wanted (Europe) (En,Fr,De,Es,It)",SLES-52367
"America's 10 Most Wanted (UK) (En,Fr,De,Es,It)",SLES-52366
AMF Xtreme Bowling (USA),SLUS-21347
"AMF Xtreme Bowling 2006 (Europe) (En,Fr,De,Es,It,Nl)",SLES-54365
Amplitude - P.O.D. (USA) (Demo),SCUS-97869
Amplitude (Europe) (Beta) (2003-05-27),SCES-51706
"Amplitude (Europe) (En,Fr,De,Es,It)",SCES-51706
Amplitude (USA),SCUS-97258
Amplitude (USA) (Demo),SCUS-97262
"AND 1 Streetball (Europe) (En,Fr,De,Es,It)",SLES-54016
"AND 1 Streetball (USA) (En,Fr,Es) (v2.00)",SLUS-21237
AND 1 Streetball (USA) (v1.03),SLUS-21237
Angel Profile (Japan),SLPM-66709
Angel Wish - Kimi no Egao ni Chu! (Japan),SLPM-65828
Angelic Concert (Japan),SLPM-65239
Angelique Etoile (Japan),SLPM-65715
Angelique Etoile (Japan),SLPM-66524
Angelique Etoile (Japan),SLPM-66938
Angelique Etoile (Japan) (Premium Box),SLPM-65714
Angelique Trois - Aizouban (Japan),SLPM-65044
Angelique Trois - Aizouban (Japan),SLPM-65159
Angelique Trois - Aizouban (Japan),SLPM-65541
Angelique Trois - Aizouban (Japan),SLPM-66006
Angelique Trois - Aizouban (Japan) (Shokai Gentei Package),SLPM-65037
Angelique Trois (Japan),SLPM-62022
Angelique Trois (Japan) (Premium Box),SLPM-62021
Angel's Feather - Kuro no Zan'ei (Japan),SLPM-65943
Angel's Feather (Japan),SLPM-65513
Angel's Feather (Japan) (Shokai Genteiban),SLPM-65512
"Animal Soccer World (Europe) (En,Fr,De)",SLES-52371
"Animaniacs - The Great Edgar Hunt (Europe) (En,Fr,De,Es,It)",SLES-52729
Anime Battle - Rekka no Honoo - Flame of Recca - Final Burning (Japan),SLPM-65604
Anime Battle - Rekka no Honoo - Flame of Recca - Final Burning (Japan),SLPM-66155
